Symbol,Security,GICS Sector,GICS Sub Industry,MC2.14,MC3.23,SP2.14,SP3.23,value_retention
MMM,3M Company,Industrials,Industrial Conglomerates,92902770000.0,68010990000.0,161.01,117.87,0.7320663312837713
ABT,Abbott Laboratories,Health Care,Health Care Equipment,158518880000.0,111065760000.0,89.66,62.82,0.7006468882444792
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,139288050000.0,95524500000.0,94.05,64.5,0.685805422647528
ABMD,ABIOMED Inc,Health Care,Health Care Equipment,7548310800.0,5973827600.0,167.22,132.34,0.7914125104652554
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,135008344851.0,91600363340.0,212.37,143.69,0.6766021566134576
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,48719840000.0,43312490000.0,63.52,56.47,0.8890113350125944
ADBE,Adobe Inc.,Information Technology,Application Software,184630103970.0,148104140000.0,379.67,307.27,0.8093080833355282
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,60343210000.0,45429240000.0,55.31,41.64,0.7528475863315855
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,9467389710.0,5563216500.0,133.59,78.5,0.5876188337450408
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,13897520000.0,7881680000.0,20.93,11.87,0.5671285236502628
AFL,AFLAC Inc,Financials,Life & Health Insurance,39206883340.0,19072615660.0,52.81,25.69,0.48646089755728084
A,Agilent Technologies Inc,Health Care,Health Care Equipment,26604200000.0,19644700000.0,85.82,63.37,0.7384059659752972
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,56552609000.0,39039657000.0,256.01,176.73,0.6903245966954416
AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,16216907020.0,13917871240.0,99.67,85.54,0.8582321661482895
ALK,Alaska Air Group Inc,Industrials,Airlines,8149974690.0,2962394370.0,66.11,24.03,0.3634851005899259
ALB,Albemarle Corp,Materials,Specialty Chemicals,9497268360.0,5392804100.0,89.64,50.9,0.5678268630075859
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,19627845720.0,12894483680.0,174.93,114.92,0.6569484936831875
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,22891392000.0,18108216000.0,102.56,81.13,0.7910491419656785
ALGN,Align Technology,Health Care,Health Care Supplies,21837628800.0,10938273280.0,274.95,137.72,0.5008910711038371
ALLE,Allegion,Industrials,Building Products,13001040000.0,7356960000.0,138.9,78.6,0.5658747300215982
AGN,"Allergan, plc",Health Care,Pharmaceuticals,65247280000.0,55173300000.0,198.32,167.7,0.8456030657523195
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,5141500000.0,1551000000.0,102.83,31.02,0.3016629388310804
LNT,Alliant Energy Corp,Utilities,Electric Utilities,14247990000.0,9537615000.0,59.74,39.99,0.6694007365249415
ALL,Allstate Corp,Financials,Property & Casualty Insurance,41212074000.0,24034086000.0,125.57,73.23,0.583180696026121
GOOGL,Alphabet Inc Class A,Communication Services,Interactive Media & Services,1051866323080.0,730086221480.0001,1518.73,1054.13,0.6940865064889744
GOOG,Alphabet Inc Class C,Communication Services,Interactive Media & Services,1053258441040.0,731810785519.9999,1520.74,1056.62,0.6948064757946788
MO,Altria Group Inc,Consumer Staples,Tobacco,84422730000.0,58649220000.0,45.17,31.38,0.6947088775736108
AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,1054625829400.0,939998020000.0,2134.8701,1902.83,0.8913094993461194
AMCR,Amcor plc,Materials,Paper Packaging,16472814000.0,10680708000.0,10.21,6.62,0.6483839373163565
AEE,Ameren Corp,Utilities,Multi-Utilities,21315624000.0,15072472000.0,86.79,61.37,0.7071091139532203
AAL,American Airlines Group,Industrials,Airlines,12946199600.0,4544470750.0,29.2,10.25,0.351027397260274
AEP,American Electric Power,Utilities,Electric Utilities,51225689440.0,34558580000.0,103.76,70.0,0.674633770239013
AXP,American Express Co,Financials,Consumer Finance,112500360000.0,57098880000.0,135.87,68.96,0.5075439758592772
AIG,American International Group,Financials,Property & Casualty Insurance,42504840000.0,16921275000.0,48.48,19.3,0.39810231023102316
T,AT&T,Communication Services,Integrated Telecommunication Services,279684000000.0,195742240000.0,38.25,26.77,0.6998692810457516
AMT,American Tower Corp.,Real Estate,Specialized REITs,113344243750.0,79214909710.0,256.25,179.09,0.6988878048780488
AWK,American Water Works Company Inc,Utilities,Water Utilities,25216920000.0,17569670000.0,139.32,97.07,0.6967413149583692
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,23979762000.0,11114208000.0,178.82,82.88,0.463482831897998
ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,19438914880.0,15230171440.0,94.36,73.93,0.7834887664264519
AME,AMETEK Inc.,Industrials,Electrical Components & Equipment,23081097060.0,13257851390.0,101.34,58.21,0.5744029998026445
AMGN,Amgen Inc.,Health Care,Biotechnology,135205400000.0,112487650000.0,223.48,185.93,0.8319760157508502
APH,Amphenol Corp,Information Technology,Electronic Components,30960825000.0,20527500000.0,104.07,69.0,0.6630152781781493
